candidate,family,category,severity,split,response_single,response_average,cka_time,cka_delta,rsa_state,rsa_temporal,gpfa_position,gpfa_velocity,gpfa_speed,gpfa_acceleration,gpfa_rmse_quality
gain_0.1,gain,non_temporal,0.1,selection,0.1813599950266892,0.2886897250511108,0.45248821256591376,0.09069962872561159,0.4491032339888019,0.556346551998726,0.6960157485028767,0.4634769526120771,0.4663089557612241,0.4107277098025439,-0.7314160910704631
gain_0.1,gain,non_temporal,0.1,test,0.18661706436576267,0.29684455579716573,0.4582964182444448,0.08533117684113964,0.4682493564209742,0.5838564132194061,0.7143605943681632,0.4802393371942404,0.5375317662993261,0.395507347518721,-0.7213364885176037
gain_0.2,gain,non_temporal,0.2,selection,0.18135999496329372,0.28868972515062663,0.4504832716230264,0.08795691987065361,0.4486244032379801,0.5472092652881329,0.6910050257843461,0.4587350557588089,0.4674281815251826,0.4029241088819136,-0.7358028482394415
gain_0.2,gain,non_temporal,0.2,test,0.1866170643287271,0.2968445559336202,0.45103788117399285,0.08235794460135229,0.4633665048452337,0.577113967932977,0.7030300033646771,0.47657680212255904,0.5330690830187274,0.3902140757525371,-0.7318444072270284
gain_0.5,gain,non_temporal,0.5,selection,0.18135999503872052,0.2886897252178049,0.4467563453073482,0.08902966331045706,0.4129260458893132,0.5452367248524983,0.6884006573360315,0.4615330299830089,0.4633583372688698,0.40967509184521045,-0.7396531720245099
gain_0.5,gain,non_temporal,0.5,test,0.18661706435743464,0.29684455585131303,0.4607510930680852,0.08871563798595766,0.4373717529055492,0.569277288266166,0.7050527112591316,0.46897893875687724,0.5284377850731701,0.3851886763076527,-0.7271282060732032
gain_0.75,gain,non_temporal,0.75,selection,0.18135999495729252,0.2886897251433119,0.4527445736862344,0.07500599488676314,0.4051009177463827,0.5186684296492182,0.644107507405526,0.4476024355755653,0.4697972736666043,0.38887513557235365,-0.8304239863949625
gain_0.75,gain,non_temporal,0.75,test,0.18661706434266043,0.29684455584346625,0.4384667448907902,0.07088911542078005,0.4352429796534189,0.5637133005181539,0.66886029738277,0.4569675941086181,0.5299478715571654,0.37661540394996734,-0.7933199934312531
gain_1.0,gain,non_temporal,1.0,selection,0.1813599949821523,0.2886897252047359,0.38527062227523745,0.06831991544270878,0.33031696806650235,0.5250505005611174,0.5365999822137084,0.42529193776206803,0.4737894902785094,0.3530379096046136,-1.0873648408494088
gain_1.0,gain,non_temporal,1.0,test,0.18661706441887593,0.2968445560014781,0.3819904749223583,0.060610486705760205,0.3459629858583933,0.5276133438519687,0.5218780597414538,0.4704770524854117,0.531192283981706,0.3817002341003593,-1.093349160043356
